DEPT,AVTX,BVTX,CILD,CNDL,CNLS,CNPOR,CNSS,GR,LSPD,LTEN,RILD,RILM,RLL3,RxoRt,SP,MCAL,MI,MN,ITT,DT,SPOR,DCAL,RHOB,RHOC,DPOR
655.5,0,0,239.1981,19.3248,28.1877,28.1877,30.7356,131.0488,-101.71,835.3453,4.1806,3.9507,5.2914,-9.7079,-230.5102,7.8906,3.6622,2.2896,0,138.5383,64.3128,8.3224,2.3025,0.1682,23.8295
656,0,0,233.0519,23.3266,31.2979,31.2979,33.8404,127.2127,-102.32,817.4545,4.2909,4.0746,5.4494,-9.9275,-230.3793,7.8799,3.9265,2.4347,0,137.6406,63.6779,8.1778,2.3123,0.149,23.2601
656.5,0,0,225.6509,24.8216,32.4297,32.4297,35.0207,123.3743,-102.32,824.8875,4.4316,4.2147,5.6873,-10.1543,-230.3233,7.8813,4.1884,2.6524,0,136.4347,62.8251,8.0963,2.3191,0.1188,22.8617
657,0,0,217.8896,22.5313,30.6648,30.6648,33.181,115.0559,-102.32,830.413,4.5895,4.3546,6.0281,-10.3074,-230.297,7.8846,4.474,2.9395,0,134.8862,61.73,8.0831,2.3254,0.0876,22.4921
657.5,0,0,210.8828,20.219,28.9298,28.9298,31.4426,98.3798,-101.83,846.8251,4.742,4.4699,6.3114,-10.2615,-230.2505,7.8773,4.6672,3.1431,0,133.0982,60.4655,8.0939,2.3319,0.0656,22.1107
658,0,0,205.7026,20.0175,28.759,28.759,31.2781,86.4498,-101.83,859.2569,4.8614,4.5349,6.4144,-9.9144,-230.1556,7.8639,4.8063,3.1975,0,131.3676,59.2416,8.1137,2.3339,0.0556,21.9952
658.5,0,0,203.2119,21.6908,30.1292,30.1292,32.631,88.9379,-101.83,844.7115,4.921,4.5335,6.4732,-9.1978,-230.0086,7.8574,4.8643,3.1931,0,130.1444,58.3765,8.1026,2.3238,0.0565,22.5827
659,0,0,203.62,26.5827,33.7554,33.7554,36.3549,97.6064,-101.83,823.9418,4.9111,4.4682,6.3224,-8.0399,-229.8172,7.8606,4.5015,3.025,0,129.8523,58.17,8.0866,2.3007,0.0701,23.935
659.5,0,0,206.185,37.0548,41.0298,41.0298,41.6685,105.6723,-101.95,815.2338,4.85,4.36,5.7473,-6.4872,-229.5912,7.8738,3.823,2.6846,0,130.6229,58.7149,8.0923,2.2763,0.0984,25.3599
660,0,0,209.7967,46.7024,47.3885,47.3885,46.1804,114.6743,-101.95,813.0745,4.7665,4.2382,5.1459,-4.9573,-229.344,7.8977,3.377,2.3748,0,132.1522,59.7965,8.131,2.2646,0.1337,26.0452
660.5,0,0,213.8026,46.6713,47.3669,47.3669,46.164,118.581,-101.95,823.4597,4.6772,4.1276,4.9287,-4.1476,-229.0959,7.9172,3.3239,2.2073,0,133.824,60.9788,8.2088,2.2677,0.1599,25.8643
661,0,0,218.1077,45.6554,46.6645,46.6645,45.6347,115.4696,-102.2,846.3953,4.5849,4.0422,4.9587,-4.4963,-228.8703,7.9162,3.4388,2.1581,1,135.0272,61.8297,8.2517,2.2791,0.1657,25.1994
661.5,0,0,222.9518,48.3769,48.5652,48.5652,47.0842,111.9879,-102.2,856.1465,4.4853,3.9844,5.1306,-5.843,-228.6833,7.8983,3.6103,2.2194,0,135.4722,62.1444,8.1996,2.2906,0.1514,24.5234
662,0,0,228.3078,48.5048,48.656,48.656,47.1548,106.4544,-102.2,851.6806,4.3801,3.9498,5.43,-7.5458,-228.5387,7.8788,3.7997,2.3377,0,135.304,62.0255,8.115,2.2937,0.1252,24.345
662.5,0,0,233.1862,41.4299,43.829,43.829,43.5751,103.2425,-101.71,852.8269,4.2884,3.9319,5.5786,-8.8262,-228.4342,7.8664,3.8743,2.3939,0,134.9312,61.7618,8.0924,2.2824,0.0992,25.0076
663,0,0,236.1272,30.3612,36.5503,36.5503,38.7246,108.6206,-101.71,848.5602,4.235,3.9261,5.4487,-9.2214,-228.3675,7.8618,3.8007,2.356,0,134.7225,61.6142,8.0917,2.2629,0.0877,26.1448
663.5,0,0,236.3035,23.5204,31.4953,31.4953,34.0469,114.1628,-101.71,858.3644,4.2318,3.931,5.237,-8.8381,-228.3303,7.8605,3.7034,2.3075,0,134.8002,61.6691,8.0922,2.2512,0.0959,26.8323
664,0,0,234.0353,21.4498,29.9646,29.9646,32.4642,113.6005,-101.71,868.4639,4.2729,3.9463,5.1177,-8.1756,-228.2997,7.8581,3.7241,2.337,0,135.0246,61.8279,8.0924,2.2542,0.1117,26.657
664.5,0,0,230.8042,23.138,31.118,31.118,33.6524,112.172,-101.95,854.9955,4.3327,3.9707,5.2032,-7.7462,-228.2448,7.8525,3.8741,2.463,0,135.1465,61.9141,8.0915,2.2637,0.1153,26.0975
665,0,0,228.3562,23.5215,31.4964,31.4964,34.048,115.5863,-101.95,854.1013,4.3791,4.0005,5.3666,-7.7646,-228.1523,7.8428,3.99,2.5492,0,135.0214,61.8256,8.0894,2.2678,0.0981,25.8587
665.5,0,0,227.3752,21.2768,29.8368,29.8368,32.3356,120.1984,-101.95,860.7195,4.398,4.0298,5.4533,-8.0826,-228.0465,7.8314,4.0324,2.5548,0,134.7207,61.613,8.0894,2.2622,0.0689,26.19
